time, S1, S2, cell
0.0, 0.0, 0.0, 1.0
2.0, 0.6015617856837643, 0.0029958201341090313, 1.0
4.0, 1.204354797309417, 0.0016760630312512167, 1.0
6.0, 1.8107845436488834, 9.612280519735551E-4, 1.0
8.0, 2.408919180024619, 6.047635633739578E-4, 1.0
10.0, 3.0131173031434937, 4.081701598959377E-4, 1.0
12.0, 3.6082724718204577, 2.933953928009317E-4, 1.0
14.0, 4.205654129380054, 2.2007012974285966E-4, 1.0
16.0, 4.808795338008257, 1.7044461199832293E-4, 1.0
18.0, 5.413109578593183, 1.3567658690984174E-4, 1.0
20.0, 6.012397106168646, 1.1065371691616185E-4, 1.0
22.0, 6.607095878311753, 9.204529087943754E-5, 1.0
24.0, 7.213318864138323, 7.749452724928416E-5, 1.0
26.0, 7.8037521635624545, 6.638511215091729E-5, 1.0
28.0, 8.409833560537363, 5.728664659789798E-5, 1.0
30.0, 9.00948777460617, 5.000015981465315E-5, 1.0
32.0, 9.610392879363216, 4.4004622527007565E-5, 1.0
34.0, 10.210615055198877, 3.902819445690154E-5, 1.0
36.0, 10.811712593681914, 3.48427468087769E-5, 1.0
38.0, 11.412344252789833, 3.1297170090382577E-5, 1.0
40.0, 12.014531539033399, 2.825773673087264E-5, 1.0
42.0, 12.60990729937, 2.566759267604604E-5, 1.0
44.0, 13.207952450424285, 2.3407592041821524E-5, 1.0
46.0, 13.809898630569931, 2.1421190036115266E-5, 1.0
48.0, 14.405358612231334, 1.9697480835685404E-5, 1.0
50.0, 15.015608751486482, 1.8132116546998854E-5, 1.0
52.0, 15.613321162659437, 1.6775714180174805E-5, 1.0
54.0, 16.213014936163674, 1.5561235583175735E-5, 1.0
56.0, 16.812529899473198, 1.4475154074221922E-5, 1.0
58.0, 17.413844043388156, 1.3496160940189895E-5, 1.0
60.0, 18.012685604938977, 1.2615282664463319E-5, 1.0
62.0, 18.612865089821057, 1.181691427991476E-5, 1.0
64.0, 19.212711400259533, 1.1092266562735723E-5, 1.0
66.0, 19.812658043785664, 1.0432120834803422E-5, 1.0
68.0, 20.412663226306357, 9.82909340226474E-6, 1.0
70.0, 21.012705411714396, 9.276805974807679E-6, 1.0
72.0, 21.612772491785524, 8.76973668986158E-6, 1.0
74.0, 22.212857029643757, 8.303090230186094E-6, 1.0
76.0, 22.812953976196045, 7.872688091017782E-6, 1.0
78.0, 23.41305953932629, 7.474876727665738E-6, 1.0
80.0, 24.013170642863898, 7.106450808361916E-6, 1.0
82.0, 24.613284697320708, 6.764589016851643E-6, 1.0
84.0, 25.21339952672687, 6.446800224853619E-6, 1.0
86.0, 25.813513358027183, 6.150878223972165E-6, 1.0
88.0, 26.413624819026513, 5.874863527482296E-6, 1.0
90.0, 27.01373291984133, 5.61701102051627E-6, 1.0
92.0, 27.613837012773104, 5.375762459255915E-6, 1.0
94.0, 28.21393673654735, 5.149723002990646E-6, 1.0
96.0, 28.814031954411494, 4.937641113134397E-6, 1.0
98.0, 29.414122694477342, 4.738391275278858E-6, 1.0
100.0, 30.014209097718, 4.550959098574238E-6, 1.0
