time, out0, cell
0.0, 0.0, 1.0
1.0, 227.0, 1.0
2.0, 471.0, 1.0
3.0, 704.0, 1.0
4.0, 959.0, 1.0
5.0, 1195.0, 1.0
6.0, 1411.0, 1.0
7.0, 1638.0, 1.0
8.0, 1891.0, 1.0
9.0, 2158.0, 1.0
10.0, 2384.0, 1.0
11.0, 2615.0, 1.0
12.0, 2833.0, 1.0
13.0, 3053.0, 1.0
14.0, 3259.0, 1.0
15.0, 3467.0, 1.0
16.0, 3700.0, 1.0
17.0, 3947.0, 1.0
18.0, 4189.0, 1.0
19.0, 4423.0, 1.0
20.0, 4637.0, 1.0
21.0, 4865.0, 1.0
22.0, 5096.0, 1.0
23.0, 5296.0, 1.0
24.0, 5530.0, 1.0
25.0, 5751.0, 1.0
26.0, 5954.0, 1.0
27.0, 6144.0, 1.0
28.0, 6370.0, 1.0
29.0, 6577.0, 1.0
30.0, 6772.0, 1.0
31.0, 6975.0, 1.0
32.0, 7179.0, 1.0
33.0, 7403.0, 1.0
34.0, 7610.0, 1.0
35.0, 7815.0, 1.0
36.0, 8045.0, 1.0
37.0, 8253.0, 1.0
38.0, 8472.0, 1.0
39.0, 8657.0, 1.0
40.0, 8849.0, 1.0
41.0, 9051.0, 1.0
42.0, 9258.0, 1.0
43.0, 9497.0, 1.0
44.0, 9712.0, 1.0
45.0, 9902.0, 1.0
46.0, 10100.0, 1.0
47.0, 10297.0, 1.0
48.0, 10494.0, 1.0
49.0, 10697.0, 1.0
50.0, 10885.0, 1.0
51.0, 11066.0, 1.0
52.0, 11256.0, 1.0
53.0, 11460.0, 1.0
54.0, 11682.0, 1.0
55.0, 11886.0, 1.0
56.0, 12079.0, 1.0
57.0, 12286.0, 1.0
58.0, 12488.0, 1.0
59.0, 12669.0, 1.0
60.0, 12846.0, 1.0
61.0, 13045.0, 1.0
62.0, 13195.0, 1.0
63.0, 13388.0, 1.0
64.0, 13568.0, 1.0
65.0, 13791.0, 1.0
66.0, 13967.0, 1.0
67.0, 14155.0, 1.0
68.0, 14325.0, 1.0
69.0, 14535.0, 1.0
70.0, 14729.0, 1.0
71.0, 14901.0, 1.0
72.0, 15081.0, 1.0
73.0, 15256.0, 1.0
74.0, 15418.0, 1.0
75.0, 15592.0, 1.0
76.0, 15756.0, 1.0
77.0, 15935.0, 1.0
78.0, 16141.0, 1.0
79.0, 16338.0, 1.0
80.0, 16529.0, 1.0
81.0, 16681.0, 1.0
82.0, 16882.0, 1.0
83.0, 17051.0, 1.0
84.0, 17170.0, 1.0
85.0, 17350.0, 1.0
86.0, 17517.0, 1.0
87.0, 17669.0, 1.0
88.0, 17856.0, 1.0
89.0, 18003.0, 1.0
90.0, 18128.0, 1.0
91.0, 18310.0, 1.0
92.0, 18479.0, 1.0
93.0, 18627.0, 1.0
94.0, 18816.0, 1.0
95.0, 18983.0, 1.0
96.0, 19132.0, 1.0
97.0, 19273.0, 1.0
98.0, 19424.0, 1.0
99.0, 19571.0, 1.0
100.0, 19755.0, 1.0
101.0, 19928.0, 1.0
102.0, 20089.0, 1.0
103.0, 20251.0, 1.0
104.0, 20406.0, 1.0
105.0, 20552.0, 1.0
106.0, 20688.0, 1.0
107.0, 20853.0, 1.0
108.0, 21046.0, 1.0
109.0, 21191.0, 1.0
110.0, 21307.0, 1.0
111.0, 21455.0, 1.0
112.0, 21588.0, 1.0
113.0, 21711.0, 1.0
114.0, 21894.0, 1.0
115.0, 22040.0, 1.0
116.0, 22204.0, 1.0
117.0, 22348.0, 1.0
118.0, 22491.0, 1.0
119.0, 22641.0, 1.0
120.0, 22801.0, 1.0
121.0, 22931.0, 1.0
122.0, 23034.0, 1.0
123.0, 23166.0, 1.0
124.0, 23314.0, 1.0
125.0, 23430.0, 1.0
126.0, 23607.0, 1.0
127.0, 23740.0, 1.0
128.0, 23878.0, 1.0
129.0, 24015.0, 1.0
130.0, 24167.0, 1.0
131.0, 24288.0, 1.0
132.0, 24424.0, 1.0
133.0, 24530.0, 1.0
134.0, 24661.0, 1.0
135.0, 24788.0, 1.0
136.0, 24942.0, 1.0
137.0, 25102.0, 1.0
138.0, 25213.0, 1.0
139.0, 25352.0, 1.0
140.0, 25484.0, 1.0
141.0, 25606.0, 1.0
142.0, 25729.0, 1.0
143.0, 25855.0, 1.0
144.0, 26001.0, 1.0
145.0, 26133.0, 1.0
146.0, 26265.0, 1.0
147.0, 26398.0, 1.0
148.0, 26508.0, 1.0
149.0, 26623.0, 1.0
150.0, 26764.0, 1.0
151.0, 26877.0, 1.0
152.0, 26995.0, 1.0
153.0, 27123.0, 1.0
154.0, 27264.0, 1.0
155.0, 27385.0, 1.0
156.0, 27524.0, 1.0
157.0, 27657.0, 1.0
158.0, 27750.0, 1.0
159.0, 27867.0, 1.0
160.0, 27962.0, 1.0
161.0, 28100.0, 1.0
162.0, 28245.0, 1.0
163.0, 28350.0, 1.0
164.0, 28476.0, 1.0
165.0, 28582.0, 1.0
166.0, 28688.0, 1.0
167.0, 28872.0, 1.0
168.0, 28964.0, 1.0
169.0, 29065.0, 1.0
170.0, 29177.0, 1.0
171.0, 29299.0, 1.0
172.0, 29416.0, 1.0
173.0, 29533.0, 1.0
174.0, 29664.0, 1.0
175.0, 29755.0, 1.0
176.0, 29854.0, 1.0
177.0, 30001.0, 1.0
178.0, 30083.0, 1.0
179.0, 30207.0, 1.0
180.0, 30311.0, 1.0
181.0, 30430.0, 1.0
182.0, 30559.0, 1.0
183.0, 30666.0, 1.0
184.0, 30816.0, 1.0
185.0, 30921.0, 1.0
186.0, 31021.0, 1.0
187.0, 31102.0, 1.0
188.0, 31213.0, 1.0
189.0, 31309.0, 1.0
190.0, 31435.0, 1.0
191.0, 31590.0, 1.0
192.0, 31681.0, 1.0
193.0, 31792.0, 1.0
194.0, 31887.0, 1.0
195.0, 32010.0, 1.0
196.0, 32103.0, 1.0
197.0, 32196.0, 1.0
198.0, 32303.0, 1.0
199.0, 32402.0, 1.0
200.0, 32505.0, 1.0
201.0, 32583.0, 1.0
202.0, 32652.0, 1.0
203.0, 32778.0, 1.0
204.0, 32867.0, 1.0
205.0, 32948.0, 1.0
206.0, 33041.0, 1.0
207.0, 33109.0, 1.0
208.0, 33206.0, 1.0
209.0, 33284.0, 1.0
210.0, 33374.0, 1.0
211.0, 33482.0, 1.0
212.0, 33595.0, 1.0
213.0, 33659.0, 1.0
214.0, 33743.0, 1.0
215.0, 33861.0, 1.0
216.0, 33956.0, 1.0
217.0, 34005.0, 1.0
218.0, 34109.0, 1.0
219.0, 34211.0, 1.0
220.0, 34276.0, 1.0
221.0, 34371.0, 1.0
222.0, 34462.0, 1.0
223.0, 34576.0, 1.0
224.0, 34670.0, 1.0
225.0, 34758.0, 1.0
226.0, 34865.0, 1.0
227.0, 34964.0, 1.0
228.0, 35041.0, 1.0
229.0, 35137.0, 1.0
230.0, 35249.0, 1.0
231.0, 35340.0, 1.0
232.0, 35460.0, 1.0
233.0, 35568.0, 1.0
234.0, 35668.0, 1.0
235.0, 35745.0, 1.0
236.0, 35823.0, 1.0
237.0, 35911.0, 1.0
238.0, 35999.0, 1.0
239.0, 36092.0, 1.0
240.0, 36136.0, 1.0
241.0, 36242.0, 1.0
242.0, 36336.0, 1.0
243.0, 36365.0, 1.0
244.0, 36468.0, 1.0
245.0, 36543.0, 1.0
246.0, 36613.0, 1.0
247.0, 36690.0, 1.0
248.0, 36783.0, 1.0
249.0, 36859.0, 1.0
250.0, 36955.0, 1.0
251.0, 37035.0, 1.0
252.0, 37086.0, 1.0
253.0, 37169.0, 1.0
254.0, 37249.0, 1.0
255.0, 37314.0, 1.0
256.0, 37385.0, 1.0
257.0, 37491.0, 1.0
258.0, 37556.0, 1.0
259.0, 37646.0, 1.0
260.0, 37726.0, 1.0
261.0, 37815.0, 1.0
262.0, 37878.0, 1.0
263.0, 38001.0, 1.0
264.0, 38084.0, 1.0
265.0, 38157.0, 1.0
266.0, 38215.0, 1.0
267.0, 38327.0, 1.0
268.0, 38451.0, 1.0
269.0, 38519.0, 1.0
270.0, 38630.0, 1.0
271.0, 38659.0, 1.0
272.0, 38747.0, 1.0
273.0, 38818.0, 1.0
274.0, 38900.0, 1.0
275.0, 38977.0, 1.0
276.0, 39037.0, 1.0
277.0, 39118.0, 1.0
278.0, 39177.0, 1.0
279.0, 39231.0, 1.0
280.0, 39337.0, 1.0
281.0, 39420.0, 1.0
282.0, 39484.0, 1.0
283.0, 39587.0, 1.0
284.0, 39664.0, 1.0
285.0, 39740.0, 1.0
286.0, 39829.0, 1.0
287.0, 39901.0, 1.0
288.0, 39990.0, 1.0
289.0, 40045.0, 1.0
290.0, 40108.0, 1.0
291.0, 40160.0, 1.0
292.0, 40237.0, 1.0
293.0, 40341.0, 1.0
294.0, 40444.0, 1.0
295.0, 40502.0, 1.0
296.0, 40543.0, 1.0
297.0, 40564.0, 1.0
298.0, 40599.0, 1.0
299.0, 40661.0, 1.0
300.0, 40715.0, 1.0
301.0, 40818.0, 1.0
302.0, 40891.0, 1.0
303.0, 40976.0, 1.0
304.0, 41050.0, 1.0
305.0, 41128.0, 1.0
306.0, 41158.0, 1.0
307.0, 41261.0, 1.0
308.0, 41294.0, 1.0
309.0, 41373.0, 1.0
310.0, 41415.0, 1.0
311.0, 41507.0, 1.0
312.0, 41523.0, 1.0
313.0, 41564.0, 1.0
314.0, 41634.0, 1.0
315.0, 41692.0, 1.0
316.0, 41734.0, 1.0
317.0, 41773.0, 1.0
318.0, 41826.0, 1.0
319.0, 41874.0, 1.0
320.0, 41901.0, 1.0
321.0, 41943.0, 1.0
322.0, 42003.0, 1.0
323.0, 42047.0, 1.0
324.0, 42146.0, 1.0
325.0, 42212.0, 1.0
326.0, 42256.0, 1.0
327.0, 42351.0, 1.0
328.0, 42375.0, 1.0
329.0, 42411.0, 1.0
330.0, 42474.0, 1.0
331.0, 42527.0, 1.0
332.0, 42567.0, 1.0
333.0, 42626.0, 1.0
334.0, 42685.0, 1.0
335.0, 42738.0, 1.0
336.0, 42782.0, 1.0
337.0, 42856.0, 1.0
338.0, 42872.0, 1.0
339.0, 42934.0, 1.0
340.0, 43028.0, 1.0
341.0, 43109.0, 1.0
342.0, 43181.0, 1.0
343.0, 43252.0, 1.0
344.0, 43307.0, 1.0
345.0, 43371.0, 1.0
346.0, 43417.0, 1.0
347.0, 43468.0, 1.0
348.0, 43548.0, 1.0
349.0, 43613.0, 1.0
350.0, 43627.0, 1.0
351.0, 43647.0, 1.0
352.0, 43729.0, 1.0
353.0, 43761.0, 1.0
354.0, 43794.0, 1.0
355.0, 43887.0, 1.0
356.0, 43954.0, 1.0
357.0, 44003.0, 1.0
358.0, 44072.0, 1.0
359.0, 44128.0, 1.0
360.0, 44160.0, 1.0
361.0, 44167.0, 1.0
362.0, 44225.0, 1.0
363.0, 44257.0, 1.0
364.0, 44311.0, 1.0
365.0, 44343.0, 1.0
366.0, 44389.0, 1.0
367.0, 44455.0, 1.0
368.0, 44499.0, 1.0
369.0, 44548.0, 1.0
370.0, 44585.0, 1.0
371.0, 44627.0, 1.0
