time, out0, cell
0.0, 0.0, 1.0
1.0, 277.0, 1.0
2.0, 519.0, 1.0
3.0, 768.0, 1.0
4.0, 1003.0, 1.0
5.0, 1243.0, 1.0
6.0, 1493.0, 1.0
7.0, 1727.0, 1.0
8.0, 1957.0, 1.0
9.0, 2190.0, 1.0
10.0, 2434.0, 1.0
11.0, 2668.0, 1.0
12.0, 2893.0, 1.0
13.0, 3137.0, 1.0
14.0, 3374.0, 1.0
15.0, 3597.0, 1.0
16.0, 3840.0, 1.0
17.0, 4039.0, 1.0
18.0, 4259.0, 1.0
19.0, 4510.0, 1.0
20.0, 4733.0, 1.0
21.0, 4904.0, 1.0
22.0, 5109.0, 1.0
23.0, 5313.0, 1.0
24.0, 5528.0, 1.0
25.0, 5767.0, 1.0
26.0, 5986.0, 1.0
27.0, 6194.0, 1.0
28.0, 6363.0, 1.0
29.0, 6587.0, 1.0
30.0, 6822.0, 1.0
31.0, 7026.0, 1.0
32.0, 7244.0, 1.0
33.0, 7456.0, 1.0
34.0, 7639.0, 1.0
35.0, 7860.0, 1.0
36.0, 8114.0, 1.0
37.0, 8314.0, 1.0
38.0, 8520.0, 1.0
39.0, 8727.0, 1.0
40.0, 8937.0, 1.0
41.0, 9144.0, 1.0
42.0, 9336.0, 1.0
43.0, 9547.0, 1.0
44.0, 9736.0, 1.0
45.0, 9935.0, 1.0
46.0, 10113.0, 1.0
47.0, 10310.0, 1.0
48.0, 10507.0, 1.0
49.0, 10704.0, 1.0
50.0, 10910.0, 1.0
51.0, 11110.0, 1.0
52.0, 11291.0, 1.0
53.0, 11492.0, 1.0
54.0, 11667.0, 1.0
55.0, 11868.0, 1.0
56.0, 12077.0, 1.0
57.0, 12289.0, 1.0
58.0, 12486.0, 1.0
59.0, 12670.0, 1.0
60.0, 12860.0, 1.0
61.0, 13052.0, 1.0
62.0, 13238.0, 1.0
63.0, 13435.0, 1.0
64.0, 13626.0, 1.0
65.0, 13816.0, 1.0
66.0, 14021.0, 1.0
67.0, 14193.0, 1.0
68.0, 14379.0, 1.0
69.0, 14572.0, 1.0
70.0, 14752.0, 1.0
71.0, 14968.0, 1.0
72.0, 15170.0, 1.0
73.0, 15328.0, 1.0
74.0, 15485.0, 1.0
75.0, 15660.0, 1.0
76.0, 15854.0, 1.0
77.0, 16016.0, 1.0
78.0, 16186.0, 1.0
79.0, 16352.0, 1.0
80.0, 16519.0, 1.0
81.0, 16699.0, 1.0
82.0, 16905.0, 1.0
83.0, 17105.0, 1.0
84.0, 17303.0, 1.0
85.0, 17473.0, 1.0
86.0, 17630.0, 1.0
87.0, 17809.0, 1.0
88.0, 17997.0, 1.0
89.0, 18168.0, 1.0
90.0, 18348.0, 1.0
91.0, 18502.0, 1.0
92.0, 18689.0, 1.0
93.0, 18878.0, 1.0
94.0, 19042.0, 1.0
95.0, 19237.0, 1.0
96.0, 19376.0, 1.0
97.0, 19553.0, 1.0
98.0, 19738.0, 1.0
99.0, 19904.0, 1.0
100.0, 20066.0, 1.0
101.0, 20220.0, 1.0
102.0, 20369.0, 1.0
103.0, 20513.0, 1.0
104.0, 20684.0, 1.0
105.0, 20856.0, 1.0
106.0, 20984.0, 1.0
107.0, 21149.0, 1.0
108.0, 21305.0, 1.0
109.0, 21468.0, 1.0
110.0, 21671.0, 1.0
111.0, 21824.0, 1.0
112.0, 21960.0, 1.0
113.0, 22101.0, 1.0
114.0, 22249.0, 1.0
115.0, 22387.0, 1.0
116.0, 22547.0, 1.0
117.0, 22703.0, 1.0
118.0, 22845.0, 1.0
