time, out0, cell
209.0, 9721.0, 1.0
210.0, 9764.0, 1.0
211.0, 9790.0, 1.0
212.0, 9819.0, 1.0
213.0, 9852.0, 1.0
214.0, 9894.0, 1.0
215.0, 9908.0, 1.0
216.0, 9950.0, 1.0
217.0, 9973.0, 1.0
218.0, 9988.0, 1.0
219.0, 10028.0, 1.0
220.0, 10060.0, 1.0
221.0, 10073.0, 1.0
222.0, 10103.0, 1.0
223.0, 10121.0, 1.0
224.0, 10149.0, 1.0
225.0, 10185.0, 1.0
226.0, 10217.0, 1.0
227.0, 10250.0, 1.0
228.0, 10267.0, 1.0
229.0, 10297.0, 1.0
230.0, 10323.0, 1.0
231.0, 10323.0, 1.0
232.0, 10348.0, 1.0
233.0, 10376.0, 1.0
234.0, 10403.0, 1.0
235.0, 10427.0, 1.0
236.0, 10451.0, 1.0
237.0, 10473.0, 1.0
238.0, 10493.0, 1.0
239.0, 10516.0, 1.0
240.0, 10521.0, 1.0
241.0, 10548.0, 1.0
242.0, 10579.0, 1.0
243.0, 10599.0, 1.0
244.0, 10630.0, 1.0
245.0, 10656.0, 1.0
246.0, 10681.0, 1.0
247.0, 10706.0, 1.0
248.0, 10728.0, 1.0
249.0, 10740.0, 1.0
250.0, 10770.0, 1.0
251.0, 10791.0, 1.0
252.0, 10804.0, 1.0
253.0, 10822.0, 1.0
254.0, 10845.0, 1.0
255.0, 10870.0, 1.0
256.0, 10888.0, 1.0
257.0, 10918.0, 1.0
258.0, 10926.0, 1.0
259.0, 10950.0, 1.0
260.0, 10963.0, 1.0
261.0, 10977.0, 1.0
262.0, 11002.0, 1.0
263.0, 11018.0, 1.0
264.0, 11037.0, 1.0
265.0, 11054.0, 1.0
266.0, 11081.0, 1.0
267.0, 11090.0, 1.0
268.0, 11103.0, 1.0
269.0, 11105.0, 1.0
270.0, 11138.0, 1.0
271.0, 11167.0, 1.0
272.0, 11172.0, 1.0
273.0, 11196.0, 1.0
274.0, 11235.0, 1.0
275.0, 11253.0, 1.0
276.0, 11271.0, 1.0
277.0, 11288.0, 1.0
