time, out0, cell
0.0, 0.0, 1.0
1.0, 60.0, 1.0
2.0, 131.0, 1.0
3.0, 207.0, 1.0
4.0, 270.0, 1.0
5.0, 341.0, 1.0
6.0, 413.0, 1.0
7.0, 482.0, 1.0
8.0, 547.0, 1.0
9.0, 604.0, 1.0
10.0, 669.0, 1.0
11.0, 737.0, 1.0
12.0, 808.0, 1.0
13.0, 880.0, 1.0
14.0, 952.0, 1.0
15.0, 1003.0, 1.0
16.0, 1074.0, 1.0
17.0, 1138.0, 1.0
18.0, 1194.0, 1.0
19.0, 1250.0, 1.0
20.0, 1305.0, 1.0
21.0, 1360.0, 1.0
22.0, 1436.0, 1.0
23.0, 1494.0, 1.0
24.0, 1548.0, 1.0
25.0, 1619.0, 1.0
26.0, 1685.0, 1.0
27.0, 1756.0, 1.0
28.0, 1815.0, 1.0
29.0, 1890.0, 1.0
30.0, 1949.0, 1.0
31.0, 2004.0, 1.0
32.0, 2065.0, 1.0
33.0, 2115.0, 1.0
34.0, 2171.0, 1.0
35.0, 2235.0, 1.0
36.0, 2300.0, 1.0
37.0, 2365.0, 1.0
38.0, 2412.0, 1.0
39.0, 2476.0, 1.0
40.0, 2545.0, 1.0
41.0, 2611.0, 1.0
42.0, 2681.0, 1.0
43.0, 2738.0, 1.0
44.0, 2792.0, 1.0
45.0, 2834.0, 1.0
46.0, 2900.0, 1.0
47.0, 2957.0, 1.0
48.0, 3021.0, 1.0
49.0, 3082.0, 1.0
50.0, 3136.0, 1.0
51.0, 3199.0, 1.0
52.0, 3271.0, 1.0
53.0, 3314.0, 1.0
54.0, 3377.0, 1.0
55.0, 3446.0, 1.0
56.0, 3511.0, 1.0
57.0, 3587.0, 1.0
58.0, 3652.0, 1.0
59.0, 3700.0, 1.0
60.0, 3753.0, 1.0
61.0, 3818.0, 1.0
62.0, 3871.0, 1.0
63.0, 3934.0, 1.0
64.0, 3992.0, 1.0
65.0, 4036.0, 1.0
66.0, 4088.0, 1.0
67.0, 4145.0, 1.0
68.0, 4184.0, 1.0
69.0, 4232.0, 1.0
70.0, 4292.0, 1.0
71.0, 4358.0, 1.0
72.0, 4400.0, 1.0
73.0, 4444.0, 1.0
74.0, 4481.0, 1.0
75.0, 4539.0, 1.0
76.0, 4597.0, 1.0
77.0, 4646.0, 1.0
78.0, 4688.0, 1.0
79.0, 4739.0, 1.0
80.0, 4781.0, 1.0
81.0, 4824.0, 1.0
82.0, 4875.0, 1.0
83.0, 4912.0, 1.0
84.0, 4957.0, 1.0
85.0, 5006.0, 1.0
86.0, 5063.0, 1.0
87.0, 5109.0, 1.0
88.0, 5150.0, 1.0
89.0, 5188.0, 1.0
90.0, 5234.0, 1.0
91.0, 5272.0, 1.0
92.0, 5300.0, 1.0
93.0, 5352.0, 1.0
94.0, 5406.0, 1.0
95.0, 5451.0, 1.0
96.0, 5477.0, 1.0
97.0, 5524.0, 1.0
98.0, 5554.0, 1.0
99.0, 5593.0, 1.0
100.0, 5644.0, 1.0
101.0, 5690.0, 1.0
102.0, 5726.0, 1.0
103.0, 5771.0, 1.0
104.0, 5803.0, 1.0
105.0, 5847.0, 1.0
106.0, 5906.0, 1.0
107.0, 5935.0, 1.0
108.0, 5978.0, 1.0
109.0, 6013.0, 1.0
110.0, 6054.0, 1.0
111.0, 6097.0, 1.0
112.0, 6132.0, 1.0
113.0, 6166.0, 1.0
114.0, 6197.0, 1.0
115.0, 6246.0, 1.0
116.0, 6303.0, 1.0
117.0, 6360.0, 1.0
118.0, 6402.0, 1.0
119.0, 6436.0, 1.0
120.0, 6471.0, 1.0
121.0, 6492.0, 1.0
122.0, 6540.0, 1.0
123.0, 6583.0, 1.0
124.0, 6620.0, 1.0
125.0, 6668.0, 1.0
126.0, 6715.0, 1.0
127.0, 6765.0, 1.0
128.0, 6792.0, 1.0
129.0, 6839.0, 1.0
130.0, 6899.0, 1.0
131.0, 6940.0, 1.0
132.0, 6986.0, 1.0
133.0, 7033.0, 1.0
134.0, 7073.0, 1.0
135.0, 7106.0, 1.0
136.0, 7145.0, 1.0
137.0, 7192.0, 1.0
138.0, 7247.0, 1.0
139.0, 7285.0, 1.0
140.0, 7309.0, 1.0
141.0, 7328.0, 1.0
142.0, 7363.0, 1.0
143.0, 7387.0, 1.0
144.0, 7423.0, 1.0
145.0, 7467.0, 1.0
146.0, 7494.0, 1.0
147.0, 7525.0, 1.0
148.0, 7580.0, 1.0
149.0, 7615.0, 1.0
150.0, 7659.0, 1.0
151.0, 7693.0, 1.0
152.0, 7726.0, 1.0
153.0, 7749.0, 1.0
154.0, 7797.0, 1.0
155.0, 7838.0, 1.0
156.0, 7883.0, 1.0
157.0, 7923.0, 1.0
158.0, 7952.0, 1.0
159.0, 7983.0, 1.0
160.0, 8020.0, 1.0
161.0, 8072.0, 1.0
162.0, 8094.0, 1.0
163.0, 8133.0, 1.0
164.0, 8159.0, 1.0
165.0, 8182.0, 1.0
166.0, 8219.0, 1.0
167.0, 8250.0, 1.0
168.0, 8301.0, 1.0
169.0, 8327.0, 1.0
170.0, 8354.0, 1.0
171.0, 8372.0, 1.0
172.0, 8415.0, 1.0
173.0, 8427.0, 1.0
174.0, 8461.0, 1.0
175.0, 8499.0, 1.0
176.0, 8530.0, 1.0
177.0, 8568.0, 1.0
178.0, 8583.0, 1.0
179.0, 8624.0, 1.0
180.0, 8671.0, 1.0
181.0, 8704.0, 1.0
182.0, 8730.0, 1.0
183.0, 8765.0, 1.0
184.0, 8797.0, 1.0
185.0, 8825.0, 1.0
186.0, 8854.0, 1.0
187.0, 8910.0, 1.0
188.0, 8952.0, 1.0
189.0, 8963.0, 1.0
190.0, 8994.0, 1.0
191.0, 9022.0, 1.0
192.0, 9057.0, 1.0
193.0, 9091.0, 1.0
194.0, 9129.0, 1.0
195.0, 9155.0, 1.0
196.0, 9185.0, 1.0
197.0, 9229.0, 1.0
198.0, 9262.0, 1.0
199.0, 9292.0, 1.0
200.0, 9319.0, 1.0
201.0, 9363.0, 1.0
202.0, 9392.0, 1.0
203.0, 9421.0, 1.0
