time, S1, S2, cell
0.0, 0.0, 0.0, 1.0
2.0, 0.8806564295504782, 0.6622893279039637, 1.0
4.0, 1.8600825232343248, 1.1918139780701344, 1.0
6.0, 2.824926862081068, 1.5098037522430778, 1.0
8.0, 3.7754065401374146, 1.7002578907852852, 1.0
10.0, 4.711735419340798, 1.817959869250549, 1.0
12.0, 5.634124177639204, 1.892345960621869, 1.0
14.0, 6.542780356394602, 1.9394424701886817, 1.0
16.0, 7.437908407080637, 1.9684522819911354, 1.0
18.0, 8.31970973728507, 1.984963223050376, 1.0
20.0, 9.188382756027316, 1.9925413010668307, 1.0
22.0, 10.04412291840134, 1.993561316866793, 1.0
24.0, 10.887122769553844, 1.989662938833796, 1.0
26.0, 11.717571988007785, 1.9820134834310883, 1.0
28.0, 12.535657428340787, 1.9714659683079148, 1.0
30.0, 13.341563163228257, 1.9586578388258555, 1.0
32.0, 14.135470524860489, 1.9440747196902997, 1.0
34.0, 14.917558145743158, 1.9280928039097198, 1.0
36.0, 15.688001998890424, 1.9110077761044713, 1.0
38.0, 16.44697543741958, 1.893055006643126, 1.0
40.0, 17.19464923355625, 1.8744239435067698, 1.0
42.0, 17.93119161705882, 1.8552685597078773, 1.0
44.0, 18.6567683130709, 1.8357150643536948, 1.0
46.0, 19.371542579410146, 1.8158676803064373, 1.0
48.0, 20.075675243301962, 1.7958130328219346, 1.0
50.0, 20.7693247375663, 1.7756235249835586, 1.0
52.0, 21.452647136265707, 1.7553599637084965, 1.0
54.0, 22.125796189822697, 1.735073624298869, 1.0
56.0, 22.788923359614184, 1.7148078893767078, 1.0
58.0, 23.44217785205097, 1.6945995616431622, 1.0
60.0, 24.0857066521498, 1.674479924132519, 1.0
62.0, 24.719654556605583, 1.6544756031493804, 1.0
64.0, 25.34416420637131, 1.6346092756614092, 1.0
66.0, 25.959376118752854, 1.6149002530717853, 1.0
68.0, 26.56542871902594, 1.5953649659901323, 1.0
70.0, 27.162458371582453, 1.5760173691480814, 1.0
72.0, 27.750599410612928, 1.5568692814682568, 1.0
74.0, 28.3299841703324, 1.5379306731402176, 1.0
76.0, 28.90074301475611, 1.5192099091310918, 1.0
78.0, 29.463004367031942, 1.500713956679195, 1.0
80.0, 30.016894738336234, 1.482448562852217, 1.0
82.0, 30.562538756339286, 1.4644184070990187, 1.0
84.0, 31.100059193247073, 1.446627232812577, 1.0
86.0, 31.62957699342558, 1.4290779611962035, 1.0
88.0, 32.15121130061377, 1.4117727901444783, 1.0
90.0, 32.665079484731436, 1.3947132803829285, 1.0
92.0, 33.17129716828789, 1.377900430732223, 1.0
94.0, 33.66997825239755, 1.361334744054971, 1.0
96.0, 34.16123494240815, 1.3450162851917782, 1.0
98.0, 34.64517777314748, 1.32894473198672, 1.0
100.0, 35.121915633794124, 1.3131194203321315, 1.0
